Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9
0.026,0.043,0.031,0.019,0.018,0.013,0.787,0.822,0.011
0.231,0.039,0.882,0.839,0.131,0.287,0.807,0.831,0.108
0.218,0.004,0.430,0.484,0.272,0.214,0.821,0.798,0.117
0.792,0.004,0.053,0.174,0.899,0.939,0.778,0.609,0.516
0.929,0.238,0.013,0.032,0.957,0.965,0.473,0.525,0.708
0.019,0.682,0.052,0.043,0.013,0.022,0.743,0.959,0.014
0.323,0.051,0.847,0.779,0.338,0.338,0.833,0.881,0.247
0.681,0.054,0.648,0.492,0.748,0.640,0.820,0.888,0.498
0.494,0.117,0.681,0.934,0.522,0.711,0.653,0.629,0.407
0.975,0.174,0.020,0.003,0.986,0.990,0.825,0.838,0.908
0.986,0.005,0.131,0.226,0.998,0.999,0.894,0.945,0.931
0.986,0.005,0.131,0.226,0.998,0.999,0.894,0.945,0.931
0.713,0.101,0.021,0.008,0.742,0.615,0.526,0.320,0.312
0.775,0.029,0.313,0.141,0.844,0.785,0.857,0.895,0.597
0.304,0.096,0.573,0.782,0.284,0.315,0.613,0.672,0.204
0.673,0.027,0.541,0.984,0.794,0.897,0.771,0.691,0.383
0.720,0.005,0.382,0.816,0.876,0.832,0.738,0.815,0.433
0.501,0.004,0.353,0.879,0.674,0.562,0.780,0.823,0.213
0.120,0.104,0.024,0.023,0.091,0.091,0.599,0.528,0.055
0.855,0.009,0.270,0.769,0.947,0.974,0.836,0.909,0.585
0.023,0.021,0.202,0.070,0.016,0.006,0.890,0.936,0.008
0.050,0.052,0.707,0.810,0.039,0.016,0.682,0.759,0.034
0.089,0.111,0.263,0.644,0.081,0.035,0.465,0.589,0.045
0.470,0.179,0.038,0.044,0.479,0.257,0.337,0.478,0.207
0.933,0.057,0.284,0.696,0.974,0.982,0.683,0.782,0.815
0.468,0.014,0.340,0.895,0.643,0.623,0.678,0.664,0.326
0.739,0.138,0.320,0.426,0.775,0.856,0.674,0.727,0.434
0.486,0.014,0.437,0.165,0.542,0.484,0.876,0.731,0.250
0.417,0.013,0.465,0.172,0.476,0.391,0.880,0.743,0.207
0.177,0.013,0.086,0.030,0.142,0.151,0.749,0.572,0.041
0.869,0.004,0.038,0.819,0.976,0.991,0.917,0.879,0.685
0.573,0.050,0.068,0.087,0.635,0.711,0.704,0.610,0.293
0.423,0.075,0.121,0.812,0.553,0.693,0.769,0.706,0.229
0.518,0.007,0.802,0.718,0.623,0.507,0.907,0.934,0.359
0.460,0.010,0.630,0.477,0.482,0.508,0.840,0.878,0.271
0.815,0.021,0.461,0.774,0.925,0.896,0.806,0.844,0.691
0.910,0.055,0.021,0.025,0.962,0.964,0.703,0.706,0.677
0.190,0.048,0.170,0.185,0.192,0.267,0.802,0.697,0.094
0.794,0.018,0.140,0.347,0.898,0.963,0.828,0.794,0.579
0.937,0.003,0.284,0.986,0.988,0.992,0.828,0.773,0.803
0.161,0.015,0.387,0.760,0.157,0.117,0.642,0.674,0.074
0.161,0.015,0.387,0.760,0.157,0.117,0.642,0.674,0.074
0.161,0.015,0.387,0.760,0.157,0.117,0.642,0.674,0.074
0.300,0.034,0.806,0.727,0.282,0.227,0.803,0.881,0.170
0.037,0.093,0.689,0.533,0.022,0.008,0.660,0.764,0.023
0.815,0.005,0.060,0.859,0.952,0.944,0.574,0.620,0.554
0.242,0.026,0.924,0.960,0.269,0.242,0.825,0.909,0.184
0.696,0.014,0.624,0.744,0.805,0.830,0.837,0.863,0.516
0.020,0.035,0.148,0.485,0.013,0.029,0.716,0.611,0.015
0.429,0.055,0.763,0.659,0.394,0.385,0.719,0.753,0.300
0.948,0.037,0.137,0.843,0.986,0.990,0.646,0.739,0.805
0.461,0.029,0.168,0.864,0.641,0.791,0.791,0.716,0.288
0.646,0.049,0.867,0.689,0.731,0.617,0.797,0.893,0.581
0.738,0.022,0.049,0.081,0.861,0.932,0.861,0.785,0.454
0.738,0.022,0.049,0.081,0.861,0.932,0.861,0.785,0.454
0.596,0.151,0.364,0.088,0.574,0.414,0.745,0.721,0.353
0.985,0.091,0.020,0.006,0.994,0.997,0.856,0.902,0.929
0.929,0.011,0.098,0.886,0.983,0.991,0.816,0.813,0.779
0.172,0.056,0.776,0.817,0.172,0.092,0.645,0.735,0.122
0.860,0.012,0.138,0.087,0.924,0.906,0.867,0.830,0.659
0.918,0.033,0.234,0.135,0.958,0.943,0.860,0.922,0.757
0.891,0.025,0.038,0.490,0.969,0.981,0.684,0.665,0.628
0.401,0.042,0.722,0.489,0.424,0.192,0.804,0.863,0.241
0.017,0.027,0.109,0.046,0.010,0.002,0.588,0.546,0.007
0.073,0.413,0.012,0.005,0.053,0.064,0.540,0.525,0.026
0.476,0.041,0.039,0.006,0.492,0.281,0.843,0.667,0.136
0.132,0.007,0.018,0.011,0.139,0.123,0.894,0.857,0.041
0.334,0.159,0.690,0.627,0.276,0.269,0.685,0.747,0.239
0.765,0.075,0.005,0.005,0.799,0.837,0.551,0.460,0.298
0.016,0.044,0.568,0.064,0.010,0.004,0.942,0.977,0.005
0.027,0.180,0.310,0.090,0.017,0.006,0.772,0.865,0.014
0.233,0.089,0.482,0.889,0.229,0.272,0.599,0.563,0.170
0.626,0.028,0.404,0.340,0.717,0.662,0.892,0.933,0.392
0.014,0.622,0.222,0.218,0.007,0.005,0.266,0.462,0.012
0.025,0.472,0.004,0.000,0.014,0.016,0.740,0.686,0.008
0.965,0.005,0.667,0.587,0.990,0.988,0.884,0.890,0.947
0.180,0.014,0.168,0.975,0.246,0.360,0.531,0.373,0.097
0.180,0.014,0.169,0.975,0.245,0.359,0.531,0.373,0.097
0.497,0.014,0.305,0.574,0.605,0.686,0.892,0.962,0.209
0.967,0.005,0.030,0.174,0.994,0.998,0.892,0.856,0.872
0.319,0.036,0.047,0.199,0.380,0.273,0.604,0.554,0.127
0.079,0.016,0.822,0.670,0.073,0.017,0.917,0.973,0.036
0.426,0.379,0.192,0.076,0.479,0.285,0.759,0.920,0.235
0.361,0.033,0.500,0.240,0.359,0.249,0.820,0.831,0.178
0.361,0.033,0.500,0.240,0.359,0.249,0.820,0.831,0.178
0.127,0.013,0.255,0.492,0.110,0.102,0.781,0.775,0.053
0.149,0.002,0.092,0.545,0.340,0.507,0.938,0.891,0.060
0.035,0.016,0.052,0.111,0.028,0.012,0.767,0.873,0.015
0.230,0.243,0.017,0.004,0.216,0.166,0.709,0.514,0.073
0.165,0.120,0.022,0.253,0.249,0.556,0.901,0.950,0.071
0.463,0.041,0.267,0.111,0.479,0.404,0.850,0.813,0.232
0.368,0.104,0.432,0.867,0.397,0.555,0.694,0.618,0.252
0.911,0.005,0.089,0.059,0.966,0.964,0.937,0.940,0.578
0.968,0.009,0.179,0.728,0.992,0.995,0.746,0.773,0.890
0.948,0.007,0.654,0.546,0.983,0.976,0.875,0.869,0.932
0.073,0.333,0.177,0.169,0.054,0.040,0.620,0.909,0.057
0.589,0.049,0.037,0.101,0.652,0.699,0.415,0.291,0.290
0.604,0.053,0.034,0.084,0.667,0.718,0.424,0.295,0.299
0.362,0.008,0.972,0.946,0.488,0.419,0.930,0.945,0.389
0.161,0.018,0.844,0.957,0.202,0.150,0.770,0.793,0.160
0.093,0.030,0.815,0.891,0.051,0.077,0.726,0.682,0.066
0.199,0.192,0.143,0.246,0.184,0.261,0.641,0.580,0.112
0.252,0.024,0.856,0.843,0.288,0.191,0.737,0.841,0.173
0.854,0.059,0.559,0.876,0.910,0.944,0.690,0.662,0.678
0.153,0.075,0.193,0.392,0.152,0.111,0.573,0.707,0.072
0.950,0.024,0.034,0.050,0.984,0.992,0.765,0.646,0.796
0.937,0.038,0.016,0.022,0.971,0.969,0.870,0.893,0.610
0.195,0.007,0.061,0.474,0.370,0.701,0.913,0.878,0.128
0.153,0.144,0.103,0.048,0.134,0.111,0.770,0.722,0.061
0.374,0.221,0.298,0.478,0.353,0.365,0.554,0.682,0.196
0.488,0.034,0.688,0.682,0.575,0.569,0.790,0.755,0.399
0.064,0.038,0.326,0.794,0.046,0.044,0.502,0.486,0.041
0.439,0.117,0.094,0.053,0.457,0.223,0.800,0.927,0.182
0.212,0.021,0.797,0.606,0.221,0.294,0.928,0.945,0.107
0.378,0.039,0.285,0.268,0.386,0.245,0.845,0.909,0.185
0.378,0.039,0.285,0.268,0.386,0.245,0.845,0.909,0.185
0.378,0.039,0.285,0.268,0.386,0.245,0.845,0.909,0.185
0.118,0.992,0.409,0.168,0.074,0.041,0.488,0.969,0.178
0.944,0.009,0.215,0.394,0.983,0.993,0.866,0.856,0.765
0.891,0.037,0.058,0.194,0.947,0.954,0.777,0.803,0.563
0.402,0.013,0.881,0.838,0.470,0.356,0.828,0.911,0.310
0.066,0.047,0.707,0.666,0.054,0.021,0.851,0.924,0.036
0.529,0.018,0.160,0.339,0.675,0.787,0.876,0.807,0.257
0.135,0.020,0.473,0.152,0.137,0.071,0.942,0.902,0.055
0.981,0.015,0.078,0.298,0.996,0.997,0.651,0.673,0.934
0.189,0.121,0.005,0.000,0.150,0.103,0.824,0.525,0.033
0.072,0.353,0.155,0.038,0.051,0.049,0.767,0.817,0.031
0.861,0.031,0.209,0.046,0.901,0.877,0.878,0.892,0.697
0.861,0.031,0.209,0.046,0.901,0.877,0.878,0.892,0.697
0.699,0.021,0.490,0.649,0.792,0.856,0.830,0.837,0.483
0.699,0.021,0.490,0.649,0.792,0.856,0.830,0.837,0.483
0.460,0.149,0.378,0.604,0.452,0.494,0.567,0.580,0.281
0.394,0.094,0.877,0.631,0.352,0.304,0.771,0.805,0.340
0.195,0.531,0.400,0.371,0.183,0.094,0.562,0.845,0.125
0.334,0.006,0.025,0.019,0.475,0.347,0.866,0.739,0.122
0.008,0.924,0.113,0.016,0.004,0.004,0.568,0.974,0.011
0.519,0.453,0.358,0.517,0.585,0.352,0.525,0.749,0.343
0.770,0.207,0.351,0.660,0.834,0.917,0.603,0.704,0.540
0.078,0.011,0.422,0.927,0.083,0.110,0.635,0.687,0.045
0.018,0.043,0.017,0.005,0.010,0.009,0.750,0.729,0.007
0.060,0.030,0.148,0.306,0.048,0.087,0.684,0.671,0.041
0.005,0.140,0.008,0.001,0.002,0.002,0.843,0.895,0.003
0.005,0.140,0.008,0.001,0.002,0.002,0.843,0.895,0.003
0.809,0.017,0.055,0.049,0.901,0.926,0.884,0.819,0.540
0.005,0.181,0.182,0.012,0.003,0.002,0.859,0.976,0.003
0.573,0.006,0.923,0.997,0.711,0.810,0.737,0.668,0.513
0.923,0.005,0.099,0.273,0.976,0.990,0.884,0.816,0.717
0.141,0.099,0.122,0.888,0.143,0.216,0.413,0.322,0.086
0.049,0.126,0.105,0.128,0.036,0.035,0.713,0.727,0.028
0.761,0.139,0.117,0.149,0.811,0.813,0.509,0.533,0.472
0.871,0.083,0.064,0.061,0.921,0.929,0.575,0.511,0.623
0.108,0.455,0.037,0.019,0.080,0.061,0.384,0.486,0.048
0.422,0.095,0.059,0.029,0.436,0.439,0.735,0.576,0.195
0.895,0.011,0.671,0.973,0.962,0.980,0.790,0.769,0.756
0.041,0.060,0.111,0.074,0.033,0.011,0.543,0.551,0.018
0.361,0.011,0.963,0.888,0.461,0.407,0.937,0.918,0.352
0.362,0.050,0.471,0.860,0.470,0.460,0.559,0.775,0.202
0.960,0.161,0.106,0.039,0.972,0.955,0.621,0.806,0.833
0.433,0.041,0.752,0.956,0.552,0.459,0.551,0.645,0.357
0.504,0.064,0.794,0.521,0.520,0.443,0.835,0.834,0.369
0.596,0.015,0.430,0.917,0.743,0.784,0.702,0.753,0.324
0.231,0.007,0.930,0.787,0.271,0.245,0.963,0.942,0.152
0.582,0.076,0.670,0.583,0.661,0.649,0.754,0.685,0.512
0.718,0.021,0.256,0.486,0.835,0.899,0.873,0.919,0.497
0.063,0.057,0.047,0.009,0.052,0.031,0.883,0.857,0.015
0.740,0.044,0.639,0.810,0.813,0.898,0.774,0.773,0.531
0.818,0.059,0.191,0.392,0.905,0.931,0.705,0.851,0.639
0.972,0.019,0.152,0.166,0.992,0.996,0.871,0.956,0.900
0.374,0.068,0.758,0.848,0.368,0.361,0.680,0.709,0.283
0.198,0.035,0.826,0.815,0.187,0.144,0.736,0.826,0.132
0.533,0.006,0.134,0.978,0.780,0.890,0.810,0.756,0.286
0.497,0.092,0.012,0.002,0.458,0.329,0.677,0.358,0.124
0.535,0.012,0.753,0.825,0.640,0.638,0.850,0.860,0.435
0.080,0.987,0.388,0.206,0.035,0.049,0.492,0.943,0.065
0.144,0.331,0.020,0.070,0.134,0.524,0.825,0.967,0.068
0.074,0.050,0.341,0.004,0.044,0.075,0.967,0.935,0.026
0.944,0.006,0.057,0.900,0.990,0.996,0.800,0.789,0.799
0.098,0.043,0.156,0.148,0.079,0.027,0.371,0.383,0.056
0.098,0.043,0.156,0.148,0.079,0.027,0.371,0.383,0.056
0.829,0.019,0.301,0.093,0.883,0.849,0.902,0.855,0.658
0.707,0.024,0.496,0.361,0.812,0.757,0.841,0.898,0.489
0.657,0.297,0.025,0.070,0.741,0.824,0.484,0.561,0.390
0.434,0.077,0.921,0.953,0.403,0.386,0.672,0.573,0.418
0.050,0.014,0.365,0.015,0.041,0.043,0.975,0.930,0.018
0.527,0.064,0.071,0.414,0.650,0.836,0.725,0.820,0.285
0.038,0.003,0.801,0.391,0.037,0.054,0.972,0.966,0.028
0.621,0.129,0.269,0.204,0.632,0.560,0.660,0.690,0.404
0.669,0.120,0.503,0.163,0.645,0.579,0.814,0.784,0.477
0.823,0.058,0.791,0.798,0.878,0.923,0.783,0.828,0.693
0.515,0.016,0.804,0.790,0.610,0.585,0.878,0.887,0.404
0.023,0.043,0.781,0.305,0.015,0.005,0.931,0.987,0.009
0.596,0.091,0.060,0.065,0.663,0.709,0.551,0.466,0.312
0.196,0.031,0.167,0.322,0.203,0.209,0.747,0.773,0.110
0.655,0.092,0.027,0.013,0.716,0.554,0.713,0.519,0.302
0.467,0.061,0.012,0.034,0.536,0.691,0.538,0.456,0.207
0.033,0.013,0.113,0.401,0.039,0.086,0.842,0.817,0.021
0.078,0.041,0.110,0.077,0.070,0.069,0.884,0.964,0.025
0.390,0.406,0.055,0.036,0.402,0.439,0.576,0.576,0.233
0.390,0.406,0.055,0.036,0.402,0.439,0.576,0.576,0.233
0.646,0.057,0.017,0.003,0.621,0.489,0.738,0.481,0.258
0.018,0.109,0.020,0.005,0.009,0.010,0.660,0.830,0.011
0.034,0.931,0.217,0.045,0.016,0.017,0.338,0.911,0.024
0.034,0.931,0.217,0.045,0.016,0.017,0.338,0.911,0.024
0.034,0.931,0.217,0.045,0.016,0.017,0.338,0.911,0.024
0.033,0.013,0.431,0.171,0.026,0.006,0.921,0.967,0.012
0.863,0.010,0.036,0.127,0.923,0.964,0.667,0.543,0.624
0.877,0.009,0.039,0.149,0.933,0.971,0.676,0.564,0.659
0.123,0.053,0.867,0.867,0.103,0.058,0.797,0.827,0.096
0.077,0.475,0.005,0.000,0.056,0.055,0.497,0.408,0.028
0.555,0.038,0.747,0.756,0.671,0.604,0.687,0.750,0.498
0.741,0.102,0.050,0.011,0.726,0.479,0.664,0.406,0.299
0.041,0.066,0.081,0.032,0.028,0.006,0.554,0.387,0.010
0.361,0.091,0.028,0.038,0.374,0.355,0.581,0.480,0.113
0.894,0.014,0.454,0.450,0.956,0.965,0.897,0.933,0.755
0.104,0.057,0.807,0.839,0.095,0.056,0.761,0.828,0.080
0.735,0.037,0.053,0.010,0.769,0.566,0.861,0.681,0.250
0.082,0.007,0.526,0.247,0.086,0.085,0.982,0.987,0.030
0.212,0.027,0.953,0.995,0.218,0.485,0.764,0.802,0.166
0.203,0.157,0.015,0.012,0.187,0.211,0.461,0.452,0.057
0.802,0.104,0.530,0.531,0.858,0.850,0.684,0.808,0.639
0.306,0.015,0.843,0.607,0.339,0.252,0.927,0.914,0.160
0.873,0.051,0.029,0.008,0.913,0.892,0.632,0.573,0.561
0.043,0.220,0.406,0.105,0.032,0.016,0.809,0.959,0.016
0.043,0.220,0.406,0.105,0.032,0.016,0.809,0.959,0.016
0.016,0.029,0.044,0.029,0.010,0.008,0.816,0.896,0.007
0.143,0.109,0.114,0.871,0.141,0.211,0.402,0.311,0.086
0.173,0.045,0.835,0.563,0.164,0.057,0.861,0.923,0.078
0.530,0.020,0.557,0.417,0.587,0.642,0.898,0.897,0.315
0.011,0.072,0.040,0.009,0.006,0.007,0.793,0.790,0.006
0.896,0.013,0.393,0.321,0.958,0.946,0.892,0.922,0.806
0.501,0.062,0.359,0.858,0.584,0.646,0.546,0.563,0.350
0.246,0.064,0.010,0.003,0.204,0.239,0.674,0.441,0.092
0.992,0.002,0.242,0.756,0.999,0.999,0.859,0.902,0.974
0.541,0.116,0.562,0.738,0.567,0.704,0.698,0.691,0.359
0.103,0.012,0.754,0.562,0.091,0.034,0.912,0.962,0.044
0.371,0.018,0.359,0.074,0.474,0.262,0.923,0.789,0.217
0.699,0.302,0.042,0.019,0.732,0.658,0.633,0.394,0.422
0.699,0.302,0.042,0.019,0.732,0.658,0.633,0.394,0.422
0.680,0.016,0.132,0.061,0.758,0.811,0.887,0.822,0.331
0.723,0.020,0.556,0.433,0.814,0.779,0.908,0.934,0.560
0.125,0.066,0.244,0.104,0.108,0.030,0.694,0.666,0.043
0.978,0.386,0.014,0.003,0.986,0.985,0.577,0.685,0.885
0.978,0.386,0.014,0.003,0.986,0.985,0.577,0.685,0.885
0.978,0.386,0.014,0.003,0.986,0.985,0.577,0.685,0.885
0.869,0.020,0.090,0.375,0.950,0.958,0.710,0.689,0.578
0.282,0.056,0.045,0.014,0.294,0.221,0.883,0.721,0.088
0.658,0.033,0.673,0.376,0.701,0.608,0.874,0.872,0.461
0.122,0.084,0.002,0.001,0.102,0.157,0.615,0.578,0.045
0.955,0.012,0.019,0.594,0.993,0.996,0.818,0.823,0.781
0.915,0.007,0.019,0.027,0.971,0.981,0.816,0.722,0.657
0.898,0.005,0.105,0.489,0.972,0.988,0.907,0.915,0.703
0.281,0.013,0.542,0.105,0.238,0.206,0.933,0.947,0.085
0.311,0.045,0.621,0.422,0.309,0.147,0.837,0.873,0.176
0.062,0.199,0.237,0.048,0.041,0.023,0.680,0.717,0.036
0.062,0.199,0.237,0.048,0.041,0.023,0.680,0.717,0.036
0.793,0.018,0.422,0.307,0.879,0.890,0.899,0.931,0.584
0.617,0.051,0.753,0.430,0.642,0.584,0.832,0.723,0.507
0.437,0.072,0.811,0.407,0.414,0.325,0.888,0.863,0.281
0.198,0.040,0.007,0.002,0.214,0.166,0.829,0.740,0.058
0.672,0.148,0.202,0.190,0.724,0.674,0.608,0.663,0.483
0.065,0.753,0.103,0.023,0.042,0.040,0.495,0.641,0.047
0.277,0.014,0.926,0.943,0.320,0.304,0.835,0.899,0.218
0.228,0.010,0.081,0.547,0.298,0.198,0.676,0.690,0.093
0.211,0.137,0.006,0.004,0.163,0.207,0.414,0.390,0.071
0.960,0.022,0.217,0.548,0.990,0.992,0.774,0.871,0.867
0.576,0.107,0.783,0.599,0.573,0.526,0.699,0.775,0.483
0.915,0.013,0.029,0.413,0.982,0.989,0.781,0.637,0.687
0.035,0.177,0.050,0.016,0.023,0.019,0.752,0.758,0.019
0.875,0.013,0.236,0.634,0.952,0.974,0.807,0.840,0.569
0.189,0.059,0.624,0.404,0.178,0.067,0.749,0.817,0.099
0.123,0.012,0.565,0.962,0.146,0.230,0.780,0.726,0.071
0.909,0.010,0.325,0.359,0.970,0.968,0.899,0.913,0.739
0.551,0.060,0.773,0.723,0.577,0.673,0.771,0.706,0.436
0.010,0.040,0.031,0.011,0.006,0.005,0.850,0.897,0.004
0.486,0.032,0.117,0.041,0.550,0.557,0.854,0.869,0.221
0.750,0.007,0.484,0.883,0.885,0.872,0.723,0.784,0.484
0.348,0.086,0.181,0.194,0.284,0.160,0.540,0.571,0.131
0.346,0.013,0.912,0.809,0.415,0.288,0.876,0.844,0.322
0.070,0.054,0.356,0.242,0.062,0.013,0.740,0.749,0.026
0.124,0.070,0.028,0.034,0.105,0.124,0.495,0.509,0.077
0.964,0.008,0.478,0.674,0.991,0.993,0.801,0.863,0.932
0.435,0.080,0.008,0.003,0.397,0.344,0.702,0.643,0.137
0.078,0.030,0.003,0.000,0.066,0.069,0.899,0.799,0.019
0.078,0.030,0.003,0.000,0.066,0.069,0.899,0.799,0.019
0.078,0.030,0.003,0.000,0.066,0.069,0.899,0.799,0.019
0.504,0.038,0.898,0.639,0.540,0.455,0.859,0.910,0.418
0.905,0.006,0.025,0.923,0.985,0.994,0.823,0.796,0.663
0.068,0.086,0.700,0.503,0.050,0.013,0.765,0.873,0.037
0.032,0.054,0.360,0.473,0.020,0.018,0.787,0.683,0.018
0.030,0.117,0.836,0.322,0.018,0.006,0.903,0.965,0.014
0.155,0.042,0.031,0.082,0.149,0.132,0.287,0.205,0.060
0.155,0.042,0.031,0.082,0.149,0.132,0.287,0.205,0.060
0.010,0.012,0.009,0.013,0.007,0.005,0.772,0.899,0.005
0.971,0.013,0.522,0.757,0.993,0.995,0.771,0.850,0.943
0.151,0.084,0.010,0.008,0.131,0.121,0.567,0.543,0.040
0.718,0.157,0.494,0.646,0.754,0.864,0.649,0.716,0.501
0.960,0.006,0.669,0.594,0.987,0.985,0.880,0.885,0.941
0.664,0.019,0.012,0.004,0.752,0.660,0.780,0.608,0.239
0.031,0.413,0.437,0.206,0.022,0.009,0.687,0.912,0.027
0.122,0.054,0.140,0.050,0.101,0.061,0.852,0.797,0.036
0.131,0.279,0.022,0.001,0.095,0.076,0.762,0.492,0.053
0.007,0.947,0.164,0.111,0.002,0.005,0.243,0.828,0.004
0.542,0.032,0.887,0.740,0.585,0.572,0.881,0.902,0.470
0.698,0.015,0.226,0.826,0.875,0.936,0.891,0.879,0.488
0.957,0.002,0.200,0.634,0.992,0.995,0.924,0.948,0.848
0.740,0.062,0.448,0.852,0.835,0.933,0.708,0.711,0.534
0.667,0.077,0.202,0.228,0.711,0.769,0.647,0.670,0.455
0.414,0.094,0.060,0.105,0.357,0.319,0.378,0.390,0.147
0.512,0.011,0.975,0.947,0.663,0.637,0.912,0.945,0.511
0.294,0.068,0.136,0.660,0.338,0.325,0.544,0.552,0.138
0.007,0.077,0.017,0.006,0.004,0.006,0.707,0.821,0.005
0.015,0.047,0.255,0.251,0.009,0.004,0.649,0.667,0.007
0.024,0.524,0.011,0.001,0.010,0.011,0.456,0.786,0.016
0.347,0.009,0.536,0.612,0.449,0.416,0.888,0.895,0.237
0.060,0.130,0.167,0.258,0.045,0.036,0.632,0.772,0.027
0.018,0.995,0.011,0.000,0.006,0.011,0.090,0.567,0.018
0.925,0.006,0.140,0.186,0.974,0.978,0.893,0.854,0.667
0.417,0.172,0.016,0.005,0.401,0.551,0.701,0.680,0.171
0.038,0.512,0.002,0.000,0.021,0.032,0.538,0.554,0.015
0.012,0.087,0.658,0.411,0.005,0.003,0.780,0.867,0.005
0.389,0.029,0.355,0.441,0.440,0.373,0.757,0.780,0.247
0.050,0.061,0.669,0.517,0.035,0.008,0.811,0.918,0.021
0.726,0.064,0.022,0.025,0.795,0.836,0.606,0.482,0.368
0.964,0.025,0.259,0.984,0.992,0.994,0.628,0.690,0.841
0.475,0.116,0.810,0.671,0.449,0.417,0.714,0.760,0.427
0.966,0.006,0.452,0.675,0.986,0.987,0.787,0.766,0.775
0.830,0.033,0.152,0.922,0.934,0.979,0.838,0.805,0.643
0.981,0.013,0.555,0.410,0.995,0.996,0.814,0.865,0.948
0.981,0.013,0.555,0.410,0.995,0.996,0.814,0.865,0.948
0.970,0.003,0.041,0.986,0.997,0.998,0.888,0.901,0.859
0.008,0.039,0.008,0.003,0.006,0.007,0.871,0.933,0.004
0.562,0.031,0.699,0.530,0.618,0.545,0.873,0.909,0.368
0.159,0.024,0.069,0.004,0.147,0.102,0.955,0.883,0.045
0.037,0.434,0.005,0.000,0.025,0.041,0.483,0.634,0.018
0.223,0.010,0.960,0.992,0.278,0.287,0.896,0.935,0.157
0.254,0.023,0.899,0.902,0.291,0.255,0.896,0.881,0.195
0.292,0.315,0.046,0.011,0.246,0.183,0.592,0.478,0.093
0.704,0.037,0.333,0.279,0.790,0.725,0.844,0.835,0.501
0.560,0.148,0.008,0.002,0.545,0.642,0.523,0.279,0.247
0.060,0.088,0.020,0.002,0.041,0.027,0.812,0.699,0.020
0.033,0.088,0.039,0.006,0.020,0.012,0.821,0.786,0.012
0.810,0.032,0.572,0.698,0.887,0.921,0.804,0.820,0.640
0.773,0.029,0.500,0.338,0.849,0.835,0.875,0.905,0.531
0.779,0.057,0.905,0.828,0.839,0.820,0.754,0.883,0.698
0.895,0.008,0.043,0.364,0.969,0.985,0.805,0.740,0.685
0.981,0.009,0.087,0.974,0.997,0.999,0.792,0.818,0.884
0.035,0.073,0.036,0.047,0.022,0.027,0.451,0.415,0.017
0.006,0.137,0.069,0.032,0.003,0.002,0.496,0.615,0.004
0.978,0.001,0.020,0.101,0.996,0.998,0.942,0.916,0.780
0.448,0.011,0.799,0.704,0.530,0.499,0.922,0.903,0.306
0.074,0.029,0.014,0.015,0.058,0.037,0.732,0.757,0.026
0.390,0.030,0.917,0.706,0.432,0.386,0.912,0.885,0.374
0.145,0.032,0.886,0.745,0.124,0.110,0.902,0.883,0.086
0.527,0.083,0.289,0.101,0.547,0.361,0.827,0.799,0.234
0.284,0.016,0.947,0.869,0.334,0.337,0.933,0.926,0.226
0.340,0.082,0.027,0.081,0.356,0.383,0.295,0.303,0.150
0.356,0.057,0.744,0.756,0.323,0.320,0.740,0.819,0.232
0.748,0.084,0.017,0.050,0.816,0.756,0.696,0.901,0.236
0.920,0.010,0.669,0.631,0.969,0.965,0.854,0.877,0.892
0.977,0.156,0.033,0.006,0.987,0.989,0.675,0.717,0.931
0.977,0.156,0.033,0.006,0.987,0.989,0.675,0.717,0.931
0.977,0.156,0.033,0.006,0.987,0.989,0.675,0.717,0.931
0.852,0.019,0.285,0.705,0.938,0.958,0.744,0.757,0.589
0.095,0.160,0.795,0.418,0.073,0.033,0.856,0.909,0.051
0.095,0.160,0.795,0.418,0.073,0.033,0.856,0.909,0.051
0.532,0.078,0.288,0.116,0.540,0.433,0.761,0.698,0.299
0.159,0.085,0.784,0.516,0.143,0.060,0.771,0.763,0.101
0.159,0.085,0.784,0.516,0.143,0.060,0.771,0.763,0.101
0.961,0.141,0.010,0.005,0.981,0.990,0.762,0.709,0.893
0.705,0.040,0.431,0.571,0.799,0.872,0.805,0.798,0.446
0.686,0.018,0.257,0.458,0.839,0.896,0.840,0.878,0.423
0.069,0.020,0.111,0.039,0.065,0.034,0.890,0.902,0.020
0.795,0.033,0.009,0.012,0.856,0.673,0.719,0.721,0.199
0.051,0.014,0.845,0.839,0.050,0.016,0.892,0.960,0.028
0.890,0.032,0.009,0.011,0.933,0.809,0.713,0.743,0.304
0.870,0.018,0.102,0.130,0.928,0.962,0.849,0.894,0.579
0.780,0.013,0.204,0.530,0.902,0.941,0.867,0.888,0.567
0.780,0.013,0.204,0.530,0.902,0.941,0.867,0.888,0.567
0.780,0.013,0.204,0.530,0.902,0.941,0.867,0.888,0.567
0.846,0.025,0.247,0.933,0.959,0.969,0.680,0.767,0.723
0.979,0.001,0.010,0.028,0.997,0.998,0.961,0.935,0.883
0.927,0.019,0.029,0.029,0.968,0.976,0.775,0.709,0.696
0.363,0.016,0.949,0.869,0.431,0.403,0.928,0.927,0.315
0.917,0.412,0.020,0.002,0.903,0.877,0.377,0.382,0.665
0.917,0.412,0.020,0.002,0.903,0.877,0.377,0.382,0.665
0.388,0.127,0.708,0.309,0.348,0.303,0.826,0.772,0.279
0.109,0.037,0.010,0.005,0.123,0.161,0.941,0.865,0.030
